"DateTime","CLOSE"
2000-01-10,1545.112
2000-01-11,1479.781
2000-01-12,1438.02
2000-01-13,1424.442
2000-01-14,1408.848
2000-01-17,1433.33
2000-01-18,1426.623
2000-01-19,1440.724
2000-01-20,1466.863
2000-01-21,1465.085
2000-01-24,1477.344
2000-01-25,1476.506
2000-01-26,1481.117
2000-01-27,1506.767
2000-01-28,1534.997
2000-02-14,1673.943
2000-02-15,1670.67
2000-02-16,1693.109
2000-02-17,1640.649
2000-02-18,1668.091
2000-02-21,1677.136
2000-02-22,1632.294
2000-02-23,1594.93
2000-02-24,1634.309
2000-02-25,1631.576
2000-02-28,1704.855
2000-02-29,1714.578
2000-03-01,1697.744
2000-03-02,1713.014
2000-03-03,1738.021
2000-03-06,1681.085
2000-03-07,1694.798
2000-03-08,1726.033
2000-03-09,1732.346
2000-03-10,1705.049
2000-03-13,1728.875
2000-03-14,1685.347
2000-03-15,1681.471
2000-03-16,1607.527
2000-03-17,1658.601
2000-03-20,1699.248
2000-03-21,1710.324
2000-03-22,1720.446
2000-03-23,1747.241
2000-03-24,1730.499
2000-03-27,1775.914
2000-03-28,1791.441
2000-03-29,1788.807
2000-03-30,1810.984
2000-03-31,1800.225
2000-04-03,1801.003
2000-04-04,1760.692
2000-04-05,1771.199
2000-04-06,1809.141
2000-04-07,1819.896
2000-04-10,1826.061
2000-04-11,1821.174
2000-04-12,1807.328
2000-04-13,1831.548
2000-04-14,1833.665
2000-04-17,1795.058
2000-04-18,1813.495
2000-04-19,1828.71
2000-04-20,1847.027
2000-04-21,1841.064
2000-04-24,1837.398
2000-04-25,1833.469
2000-04-26,1832.779
2000-04-27,1806.83
2000-04-28,1836.321
2000-05-08,1836.637
2000-05-09,1806.638
2000-05-10,1752.689
2000-05-11,1724.048
2000-05-12,1720.608
2000-05-15,1704.587
2000-05-16,1724.538
2000-05-17,1725.398
2000-05-18,1758.537
2000-05-19,1777.828
2000-05-22,1824.736
2000-05-23,1832.075
2000-05-24,1855.493
2000-05-25,1880.704
2000-05-26,1879.617
2000-05-29,1898.748
2000-05-30,1877.471
2000-05-31,1894.554
2000-06-01,1903.488
2000-06-02,1916.25
2000-06-05,1899.092
2000-06-06,1925.544
2000-06-07,1935.031
2000-06-08,1925.206
2000-06-09,1900.787
2000-06-12,1912.557
2000-06-13,1938.674
2000-06-14,1932.29
2000-06-15,1942.285
2000-06-16,1926.944
2000-06-19,1915.205
2000-06-20,1895.348
2000-06-21,1913.131
2000-06-22,1913.901
2000-06-23,1939.627
2000-06-26,1948.639
2000-06-27,1942.898
2000-06-28,1947.481
2000-06-29,1937.261
2000-06-30,1928.106
2000-07-03,1895.637
2000-07-04,1907.931
2000-07-05,1909.187
2000-07-06,1902.552
2000-07-07,1932.792
2000-07-10,1948.021
2000-07-11,1960.541
2000-07-12,1973.374
2000-07-13,1979.201
2000-07-14,1987.192
2000-07-17,1982.479
2000-07-18,1993.986
2000-07-19,1998.426
2000-07-20,1991.56
2000-07-21,1996.336
2000-07-24,1989.239
2000-07-25,1996.577
2000-07-26,2012.319
2000-07-27,2012.35
2000-07-28,2012.793
2000-07-31,2023.539
2000-08-01,2028.151
2000-08-02,2030.683
2000-08-03,2036.301
2000-08-04,2026.361
2000-08-07,2039.419
2000-08-08,2049.916
2000-08-09,2061.18
2000-08-10,2065.943
2000-08-11,2062.666
2000-08-14,2076.3
2000-08-15,2076.823
2000-08-16,2083.467
2000-08-17,2091.586
2000-08-18,2090.183
2000-08-21,2108.69
2000-08-22,2074.703
2000-08-23,2057.919
2000-08-24,2071.161
2000-08-25,2086.703
2000-08-28,2100.585
2000-08-29,2105.476
2000-08-30,2076.143
