code,20120601-20120930,20160601-20160731,20150301-20150430,total_return_rate,rank,20120601-20120930_rank,20160601-20160731_rank,20150301-20150430_rank
采掘服务Ⅱ(申万),-5.934951202665517,-2.10835546328374,36.94623884059842,0,166,19,88,59
餐饮Ⅱ(申万),-8.106510749226915,-0.8044892120282587,36.30842083590693,0,169,27,80,62
煤炭开采Ⅱ(申万),-20.72427577357746,9.227389378618136,34.590602910602925,0,170,87,11,72
装修装饰Ⅱ(申万),2.255900197097937,1.1810264317724697,22.344331702752605,0,173,6,71,96
畜禽养殖Ⅱ(申万),-14.47470503481143,3.514443693804714,32.586493763564874,0,175,54,45,76
纺织制造(申万),-19.154903567595007,-0.3563849888084558,46.907031999634455,0,176,76,78,22
通用机械(申万),-19.935953001919135,2.684328554001602,39.07400661104568,0,178,81,51,46
地面兵装Ⅱ(申万),-20.68738901511332,16.823486102494243,25.011707480412728,0,179,86,1,92
汽车服务Ⅱ(申万),-22.644196534535965,1.5933286018452897,49.22332671707876,0,179,94,66,19
化学纤维(申万),-21.48261568720411,1.890568969410289,46.42137371316522,0,179,91,64,24
贸易Ⅱ(申万),-23.49150970269245,7.3499845886572555,36.87418028499931,0,180,95,25,60
汽车零部件Ⅱ(申万),-20.666605447018227,3.44774130682719,37.43749441914454,0,185,85,46,54
商业物业经营(申万),-21.364746559990344,-1.6765540366262657,53.83110554658433,0,187,90,85,12
保险Ⅱ(申万),-0.6534561856663679,-1.6587800274093123,18.30228667038483,0,191,8,84,99
文化传媒(申万),-8.56729248570961,-3.254159692822689,35.39718771004001,0,192,29,95,68
汽车整车(申万),-19.52868051243129,8.893323421791454,18.35336490147683,0,193,78,17,98
公交Ⅱ(申万),-20.231466789756613,1.0974766112436196,39.91948240951657,0,196,83,72,41
视听器材(申万),-13.452258049026431,0.5905232009717265,34.960536546346475,0,196,51,74,71
钢铁Ⅱ(申万),-19.821970134442054,-0.9184778324918929,41.73482394601247,0,198,80,81,37
水务Ⅱ(申万),-12.23635003739716,1.5794223826714804,28.790935648917788,0,198,44,67,87
房地产开发Ⅱ(申万),-16.74990288244891,-3.272739441306716,39.71424039485583,0,201,63,96,42
专用设备(申万),-23.819904460180148,1.8603015810892964,39.58566838806028,0,205,97,65,43
玻璃制造Ⅱ(申万),-24.014506067966256,-2.11488003550635,48.35488769565175,0,207,98,89,20
石油开采Ⅱ(申万),-7.0895522388059735,-1.9799892213604453,17.24995366652251,0,208,22,86,100
电机Ⅱ(申万),-18.589826103479766,2.000497126533696,31.006626212126907,0,215,73,60,82
银行Ⅱ(申万),-11.813157563614896,-1.4524287029679228,24.040557218633474,0,217,40,83,94
园区开发Ⅱ(申万),-16.999283523118546,1.3928640922679536,29.61389028051724,0,217,65,69,83
券商Ⅱ(申万),-13.199978484479866,-2.0325484864491927,24.327398171787767,0,228,48,87,93
多元金融Ⅱ(申万),-21.861373490720162,3.3494348456525986,26.75517474818618,0,230,92,48,90
物流Ⅱ(申万),-26.970062692500928,-6.679364494800978,43.04137670273972,0,230,101,99,30
水泥制造Ⅱ(申万),-20.924153632109288,2.263094292189028,28.881510471293087,0,232,88,58,86
铁路运输Ⅱ(申万),-26.871820346357413,-2.80172827652424,39.323404227751844,0,235,100,91,44
金属非金属新材料(申万),-20.1334387567842,-1.316545209396669,32.4947564478663,0,241,82,82,77
专业零售(申万),-22.27328181626007,-8.484403878103139,37.03116523841836,0,252,93,101,58
稀有金属(申万),-18.990767653959185,-3.03372727789778,25.481940486661124,0,257,74,92,91
农业综合Ⅱ(申万),-19.004054594255038,-5.658213129694222,10.69445559689397,0,274,75,98,101
