code,20110701-20120531,20131001-20141231,20080201-20081031
林业Ⅱ(申万),-11.857673374211931,59.60524711501913,-67.28106388010922
农产品加工(申万),-28.736013986013987,34.66430006894426,-69.02442600118913
农业综合Ⅱ(申万),-16.797331584799156,50.846204792203785,-61.69208424110385
饲料Ⅱ(申万),-13.49565124259774,20.51627085216534,-56.97114999117983
渔业(申万),-14.82584406949189,12.847780807071608,-70.20696256912689
种植业(申万),-26.10073210906403,15.667298764140458,-40.55994377837908
畜禽养殖Ⅱ(申万),-10.703135543659181,24.205848378540274,-56.069529111076186
动物保健Ⅱ(申万),-10.128970163618867,26.007765862684984,-70.57751903842919
煤炭开采Ⅱ(申万),-17.266322170976135,10.790659536024517,-68.66363051814257
其他采掘Ⅱ(申万),-30.23593514780918,19.26892411178558,-71.45224750540244
石油开采Ⅱ(申万),-13.236317723424573,37.86045256196859,-57.10536383809014
采掘服务Ⅱ(申万),-9.077272002525083,24.112524729477226,-56.029700822180416
化学纤维(申万),-30.697030107402746,44.6546961325967,-76.64433838221744
化学原料(申万),-31.228220040955314,29.605499793011237,-67.27084373901621
化学制品(申万),-22.605310136745437,21.18958679653098,-51.84866761231361
石油化工(申万),-10.967141902012123,24.109279477486822,-62.04254045065203
塑料Ⅱ(申万),-18.471107450602553,31.627149782179664,-66.55638069369397
橡胶(申万),-18.66199979037171,47.32307715032717,-70.05971168750258
钢铁Ⅱ(申万),-27.300347357193278,78.64953886693019,-68.45463283930951
金属非金属新材料(申万),5.284036895249367,20.895390070921984,-67.84156142365096
黄金Ⅱ(申万),-19.06385168438086,13.668557194713893,-76.77675325100724
稀有金属(申万),0.08949418421375643,13.686388280549355,-76.95262942439459
工业金属(申万),-27.336130844800756,38.28175798814941,-80.80403529508783
通用机械(申万),-22.683785547676393,56.560503461497056,-67.77766875649193
仪器仪表Ⅱ(申万),-18.89957527283366,83.74245873148696,-71.18925269265605
专用设备(申万),-21.570139464962402,42.17325988983474,-66.63433433579806
金属制品Ⅱ(申万),-25.703755776328162,40.28669595584093,-43.14508413812549
运输设备Ⅱ(申万),-27.99675155760275,82.11508996025366,-34.50507536142725
半导体(申万),-23.42290299578479,32.22957441066161,-67.04085545094364
其他电子Ⅱ(申万),-24.03460632679707,32.93990817366061,-68.55034798054804
元件Ⅱ(申万),-18.37959570131753,24.118481816432546,-69.16853706743493
光学光电子(申万),-24.891382326151266,20.62815250826633,-75.30974196354656
电子制造Ⅱ(申万),-8.556143032550679,-0.5038250988654291,-64.58780322798879
汽车服务Ⅱ(申万),-26.93978331241329,19.76828539728601,-68.05064096374593
汽车零部件Ⅱ(申万),-23.405340296644074,54.73804384092489,-72.76982395867446
汽车整车(申万),-14.61500506911424,29.20315268890552,-72.76778565251806
计算机设备Ⅱ(申万),-13.334545840343148,24.22118054518854,-71.83129648066604
通信设备(申万),-25.152123474856637,33.92358462173759,-65.99938915889835
白色家电(申万),-19.063392612118847,43.141117706122344,-63.16351896201533
视听器材(申万),-13.312867474894642,44.67150945411815,-65.04998067045894
饮料制造(申万),6.053386635347535,25.965982330933457,-59.30576823233286
食品加工(申万),0.8449162393650012,-5.4650170559018445,-58.059506436366014
纺织制造(申万),-22.21204693798763,39.54725681204949,-65.31761939369251
服装家纺(申万),-14.859482039903483,39.704674359475824,-63.59673046706451
包装印刷Ⅱ(申万),-27.861829546564376,31.2355639056197,-64.0154365185311
家用轻工(申万),-18.8310622229519,42.35839310916789,-72.03197184131407
造纸Ⅱ(申万),-21.08832059056156,17.85020377990463,-71.64571896879394
化学制药(申万),-22.574319729617265,12.634501300447099,-50.52697602007101
生物制品Ⅱ(申万),-11.876257561622538,19.836774740222097,-55.38507961561674
医疗器械Ⅱ(申万),-19.418687589158356,26.478422451759663,-52.99943624436245
医药商业Ⅱ(申万),-17.557629429189348,32.71437397943422,-50.68611103518027
中药Ⅱ(申万),-8.943362915286478,5.286168909057221,-53.30428112095839
医疗服务Ⅱ(申万),2.9209648408074163,19.109424920127772,-66.14581946921501
电力(申万),-16.974556918153894,75.3923228655716,-52.13000956502503
环保工程及服务Ⅱ(申万),-12.615595108662458,19.693585184390972,-64.41539767510352
