code,20080201-20081031,20110701-20120531,20131001-20141231,total_return_rate
券商Ⅱ(申万),-53.8187605666916,0.7469965901606646,159.76826461799152,105.94950405129993
运输设备Ⅱ(申万),-34.50507536142725,-27.99675155760275,82.11508996025366,47.6100145988264
保险Ⅱ(申万),-65.80887372013653,-10.659915960597921,108.79437819030831,42.985504470171776
港口Ⅱ(申万),-57.73673043781695,-20.793760176946893,87.35269959937644,29.615969161559484
地面兵装Ⅱ(申万),-62.08759865066995,-31.567859568687386,86.89733511232917,24.80973646165922
电力(申万),-52.130009565025034,-16.974556918153894,75.3923228655716,23.262313300546566
航天装备Ⅱ(申万),-76.18708484980216,-21.57239535466622,93.47129077025095,17.284205920448784
航运Ⅱ(申万),-72.36924576236218,-30.946254199768518,88.7611071793662,16.391861417004023
仪器仪表Ⅱ(申万),-71.18925269265605,-18.89957527283366,83.74245873148695,12.553206038830893
钢铁Ⅱ(申万),-68.45463283930951,-27.300347357193278,78.64953886693019,10.194906027620675
水务Ⅱ(申万),-62.52737134248911,-8.093411776976057,71.83610292197595,9.308731579486839
航空运输Ⅱ(申万),-77.73578268271181,-32.468095404943625,77.55080662057405,-0.18497606213776407
高速公路Ⅱ(申万),-56.04766661021694,-15.0983270409358,55.77257485820779,-0.27509175200915337
公交Ⅱ(申万),-58.08118517412378,-19.113105840807076,55.62583475157346,-2.4553504225503247
金属制品Ⅱ(申万),-43.1450841381255,-25.70375577632816,40.28669595584093,-2.858388182284564
物流Ⅱ(申万),-57.86025032985058,-4.3972882736368915,53.984886169414466,-3.8753641604361135
航空装备Ⅱ(申万),-64.62942305427184,-29.98147932076601,59.037678050189285,-5.591745004082554
铁路运输Ⅱ(申万),-52.441126645196114,-12.86976508163936,46.056820849964794,-6.38430579523132
多元金融Ⅱ(申万),-62.595216402323,-14.324651407524335,55.37180877568368,-7.223407626639315
林业Ⅱ(申万),-67.28106388010922,-11.857673374211931,59.60524711501913,-7.675816765090083
银行Ⅱ(申万),-59.178167746754106,-4.844050047662252,51.38601316480731,-7.7921545819467966
计算机应用(申万),-57.530621900573,-17.960275743644267,49.734372055539296,-7.7962498450337065
农业综合Ⅱ(申万),-61.69208424110385,-16.797331584799153,50.84620479220378,-10.845879448900071
高低压设备(申万),-47.84395710669283,-29.35205040172172,36.96701014049341,-10.87694696619942
通用机械(申万),-67.77766875649193,-22.683785547676397,56.560503461497056,-11.217165294994878
电机Ⅱ(申万),-69.80469955737493,-23.626302890996033,57.86653408463154,-11.938165472743393
房地产开发Ⅱ(申万),-67.31736207764519,-3.3119288935897773,54.822894521668026,-12.49446755597716
通信运营Ⅱ(申万),-58.00380458089131,-20.76320713312237,44.045622729895754,-13.958181850995558
水泥制造Ⅱ(申万),-71.50859815339359,-30.504566323765108,56.96830363795047,-14.540294515443122
船舶制造Ⅱ(申万),-83.02724571505313,-32.75136875249666,65.29428782389797,-17.732957891155152
医药商业Ⅱ(申万),-50.686111035180275,-17.557629429189348,32.71437397943422,-17.971737055746054
汽车零部件Ⅱ(申万),-72.76982395867445,-23.405340296644074,54.738043840924895,-18.031780117749555
石油开采Ⅱ(申万),-57.10536383809014,-13.236317723424573,37.86045256196859,-19.24491127612155
贸易Ⅱ(申万),-68.17880405138023,-15.550894632206758,48.92653162965613,-19.252272421724093
其他交运设备Ⅱ(申万),-70.90097133694658,-30.27819964103272,51.40153970365824,-19.499431633288346
商业物业经营(申万),-49.45857492070546,-14.865269589177075,29.82307370184254,-19.63550121886292
白色家电(申万),-63.163518962015324,-19.063392612118847,43.14111770612233,-20.022401255892994
视听器材(申万),-65.04998067045894,-13.312867474894643,44.671509454118144,-20.37847121634079
橡胶(申万),-70.05971168750257,-18.661999790371713,47.323077150327165,-22.736634537175405
其他建材Ⅱ(申万),-66.76577945125595,-21.37309616165457,43.74422485251164,-23.02155459874431
服装家纺(申万),-63.5967304670645,-14.859482039903483,39.704674359475824,-23.89205610758868
机场Ⅱ(申万),-63.227760559411905,-4.8008540050986985,38.77208535007088,-24.455675209341024
专用设备(申万),-66.63433433579806,-21.570139464962395,42.17325988983474,-24.46107444596332
种植业(申万),-40.55994377837908,-26.10073210906403,15.667298764140458,-24.89264501423862
纺织制造(申万),-65.31761939369251,-22.21204693798763,39.5472568120495,-25.770362581643013
园区开发Ⅱ(申万),-57.42411228492378,-15.450802799505965,31.53572606958244,-25.888386215341338
医疗器械Ⅱ(申万),-52.99943624436245,-19.41868758915836,26.478422451759663,-26.521013792602787
家用轻工(申万),-72.03197184131406,-18.8310622229519,42.35839310916789,-29.67357873214617
餐饮Ⅱ(申万),-69.05321324457208,-5.882411371470009,38.738358290723156,-30.314854953848922
化学制品(申万),-51.84866761231361,-22.605310136745445,21.189586796530982,-30.65908081578263
综合Ⅱ(申万),-69.5439847836424,-21.415287598296963,38.3795721348736,-31.164412648768803
畜禽养殖Ⅱ(申万),-56.069529111076186,-10.70313554365918,24.205848378540274,-31.86368073253591
采掘服务Ⅱ(申万),-56.02970082218042,-9.077272002525085,24.112524729477226,-31.917176092703198
化学纤维(申万),-76.64433838221744,-30.697030107402746,44.654696132596705,-31.989642249620736
通信设备(申万),-65.99938915889835,-25.15212347485664,33.92358462173759,-32.075804537160764
一般零售(申万),-62.96939834024896,-23.503627468275003,30.455372273441014,-32.51402606680794
包装印刷Ⅱ(申万),-64.0154365185311,-27.861829546564373,31.2355639056197,-32.779872612911404
饮料制造(申万),-59.30576823233286,6.053386635347535,25.965982330933453,-33.33978590139941
电气自动化设备(申万),-58.7893680858505,-26.40358828250192,24.91959346455679,-33.86977462129371
农产品加工(申万),-69.02442600118914,-28.73601398601399,34.664300068944264,-34.36012593224488
半导体(申万),-67.04085545094364,-23.42290299578479,32.22957441066161,-34.811281040282026
塑料Ⅱ(申万),-66.55638069369397,-18.471107450602556,31.627149782179664,-34.9292309115143
生物制品Ⅱ(申万),-55.38507961561674,-11.876257561622536,19.836774740222094,-35.54830487539465
其他电子Ⅱ(申万),-68.55034798054804,-24.03460632679707,32.939908173660605,-35.610439806887435
饲料Ⅱ(申万),-56.97114999117983,-13.49565124259774,20.516270852165338,-36.454879139014494
酒店Ⅱ(申万),-66.9822501904789,4.1603199716978345,29.550415524449658,-37.43183466602923
化学原料(申万),-67.27084373901621,-31.228220040955314,29.605499793011237,-37.66534394600498
化学制药(申万),-50.52697602007101,-22.574319729617265,12.634501300447099,-37.89247471962391
电源设备(申万),-75.05966333184926,-32.92981905480951,37.1460196155808,-37.91364371626847
石油化工(申万),-62.04254045065203,-10.967141902012123,24.109279477486826,-37.933260973165204
景点(申万),-72.62650245657133,-5.528547394586071,33.46909893838544,-39.15740351818589
工业金属(申万),-80.80403529508783,-27.336130844800763,38.2817579881494,-42.52227730693843
汽车整车(申万),-72.76778565251806,-14.61500506911424,29.203152688905522,-43.56463296361254
动物保健Ⅱ(申万),-70.57751903842919,-10.128970163618867,26.007765862684984,-44.569753175744204
环保工程及服务Ⅱ(申万),-64.41539767510352,-12.615595108662458,19.69358518439097,-44.72181249071255
元件Ⅱ(申万),-69.16853706743493,-18.37959570131753,24.11848181643255,-45.05005525100238
旅游综合Ⅱ(申万),-74.16917312680593,-1.7219715857374585,28.8860837461836,-45.28308938062233
玻璃制造Ⅱ(申万),-65.71908746334836,-38.505927997275904,20.294325476969632,-45.424761986378726
金属非金属新材料(申万),-67.84156142365096,5.2840368952493675,20.895390070921984,-46.946171352728975
医疗服务Ⅱ(申万),-66.14581946921501,2.9209648408074163,19.109424920127765,-47.03639454908725
计算机设备Ⅱ(申万),-71.83129648066604,-13.334545840343148,24.221180545188542,-47.610115935477495
中药Ⅱ(申万),-53.30428112095839,-8.943362915286476,5.2861689090572215,-48.01811221190117
汽车服务Ⅱ(申万),-68.05064096374593,-26.939783312413287,19.76828539728601,-48.28235556645993
燃气Ⅱ(申万),-71.50034891835311,-5.0304986560954275,19.99995327659554,-51.50039564175757
其他采掘Ⅱ(申万),-71.45224750540244,-30.23593514780918,19.26892411178558,-52.18332339361686
造纸Ⅱ(申万),-71.64571896879393,-21.08832059056156,17.85020377990463,-53.7955151888893
光学光电子(申万),-75.30974196354656,-24.891382326151266,20.62815250826633,-54.68158945528023
渔业(申万),-70.20696256912689,-14.82584406949189,12.847780807071608,-57.35918176205528
