code,20100101-20100228,20101001-20110131,20121001-20130731,20150501-20150531,total_return_rate
互联网传媒(申万),9.8935255604788,-8.832742654624436,128.77895196234292,12.438449169197785,132.38465847691626
地面兵装Ⅱ(申万),4.14291028077578,-7.125114635535057,41.34624550563033,61.947644683627615,96.1687755537229
医疗服务Ⅱ(申万),-0.5616073216954454,11.466259642507096,50.40404797601201,25.25049727030344,87.12080488882255
动物保健Ⅱ(申万),9.27636099098734,-10.395537096405816,12.975669856605256,73.77742111947329,76.35755387967274
计算机应用(申万),9.490910532680429,-0.6486938461745861,42.7095085819575,33.39785034798008,75.458665083763
运输设备Ⅱ(申万),-2.343529248337384,65.83242847321719,13.94671089659405,-4.7941248107736465,74.9850145590376
文化传媒(申万),15.831743251274677,-12.186876204322296,57.21745071247317,29.78734558799436,74.81792009614523
食品加工(申万),7.824703055775761,15.944874082887184,43.97410349068929,14.5612366249545,74.48021419853097
采掘服务Ⅱ(申万),-7.873842861325076,44.289553298868405,21.335806344224093,6.600505554872592,72.22586519796509
医疗器械Ⅱ(申万),5.252822325993066,-1.8424103194709216,45.96255231521646,24.083919053593263,68.2040610493388
水务Ⅱ(申万),5.5414864848279075,10.891510801797885,56.13337016509641,0.8658123942602902,67.89069336115459
其他电子Ⅱ(申万),4.7800719063475725,5.6936794934064014,32.38667262274706,29.779915698703284,67.86026781485674
电子制造Ⅱ(申万),2.412431948581739,-0.23110741444867244,36.30255237739721,31.68923136528985,67.76067632823839
金属制品Ⅱ(申万),5.9174472249406085,40.47131911637392,7.062789463007003,17.665326696658056,65.19943527603897
通信设备(申万),4.3961451016322215,2.7443311786682134,27.067964291824747,35.35322378628983,65.1655192567828
通用机械(申万),0.1619237587205502,20.33130393282341,11.163800032149183,31.62408820707643,63.119192172049026
计算机设备Ⅱ(申万),7.269173711352339,-2.0480604188122142,25.898156244767343,37.53626447455724,61.38636030051237
环保工程及服务Ⅱ(申万),10.71296483674451,2.04753588352018,34.446345025814054,22.747769573166398,59.24165048250063
半导体(申万),6.406854439080534,0.5414931111823229,22.80625306389237,35.20086635983088,58.54861253490557
