code,20120801-20120930,20020201-20020331,20050201-20050831,20090401-20090630
林业Ⅱ(申万),13.236268141623775,13.100796868446807,-7.151345498719208,5.943724618062274
农产品加工(申万),1.8793184938443952,11.208549759562093,-7.2201687043882075,5.305651672433687
农业综合Ⅱ(申万),5.891399944751785,18.116560056858578,-5.299272486772488,8.461814830435689
饲料Ⅱ(申万),-5.417191832619106,10.775330338353562,0.10350838962738251,2.616312736231463
渔业(申万),-4.966341530429997,14.158377605444162,-7.223363221960621,8.744174931294069
种植业(申万),2.3571823380079016,12.988044643921048,-12.429779680484499,0.9146680052774192
畜禽养殖Ⅱ(申万),-2.8298322935149556,16.735406091370542,-12.832781878340537,3.0731587961830176
动物保健Ⅱ(申万),-3.1743125767740743,10.596915418463038,-18.74031165864404,23.148184883951583
煤炭开采Ⅱ(申万),0.08648104395330147,3.323713021928043,-18.275203781703585,57.38232718803879
其他采掘Ⅱ(申万),9.173453474267879,10.580039895274918,-20.679161872464125,20.60064643562578
石油开采Ⅱ(申万),-0.9034106737772163,9.818596567456005,20.07660161608793,28.864575735472876
采掘服务Ⅱ(申万),0.6168987773039314,7.097544515392196,52.3157173090107,10.308700275502192
化学纤维(申万),2.4184585042995588,16.17606920153689,-17.75921275178105,24.08514506710222
化学原料(申万),7.207850267861837,9.889875362813715,-10.246954132823694,6.642018634947977
化学制品(申万),2.314909195008452,11.20701027042308,0.8706740525420864,3.2287170051659375
石油化工(申万),7.00071127758759,10.168686984115837,-0.3555903243872782,22.135352298524946
塑料Ⅱ(申万),8.348139984706048,11.618669314796426,-8.172533547048067,27.77493231872392
橡胶(申万),2.5690938933695673,16.507707377429504,2.018073082698857,32.09838040897333
钢铁Ⅱ(申万),-1.2636957437842433,4.990298476654398,-11.130271544573455,24.75754104620085
金属非金属新材料(申万),-2.69114695606929,11.642102760892437,-12.501882561622523,16.1907725822765
黄金Ⅱ(申万),20.748593531708394,,,22.415506528746356
稀有金属(申万),1.1415679814452018,8.185663006006338,0.6036195577055814,32.01226761067386
工业金属(申万),6.4573963544978685,10.584360390990222,-4.798395391894661,20.207606568535684
通用机械(申万),2.717586612146583,10.127183345126811,-2.4766972608121107,15.418289997459134
仪器仪表Ⅱ(申万),2.457853039462332,11.574061742535214,-40.53432413305025,22.8372275406999
专用设备(申万),-6.110079764989074,10.351637731197783,-5.577360945462429,14.943196298692406
金属制品Ⅱ(申万),-4.455570081201565,,,25.8941368621046
运输设备Ⅱ(申万),-0.04070281616604943,12.337389093318297,-13.138297126348132,16.99148734106273
半导体(申万),6.826876918377156,8.772835173908566,-9.212249734921729,7.99428379287157
其他电子Ⅱ(申万),7.150586864230424,2.2006381032418476,-1.8131809181971659,7.7588271783123774
元件Ⅱ(申万),4.3912127107652354,10.06559058813259,-14.502585042974292,20.173965381665692
光学光电子(申万),10.78143624315906,9.751205660972628,-32.061828821790215,14.912219346716093
电子制造Ⅱ(申万),7.970951907990376,-15.967808917357761,53.35551407936381,13.485131392623973
汽车服务Ⅱ(申万),0.31513836772982806,19.564335962049185,-30.949763658348907,28.7647509723576
汽车零部件Ⅱ(申万),1.0261407654639676,5.995228482290327,-5.700173541583242,18.388633975299395
汽车整车(申万),-1.6638502534771726,6.075663026521072,-4.348966717943215,31.598340429447337
计算机设备Ⅱ(申万),6.841990180293012,5.3263068743236275,-11.562163748410438,21.505322164136807
通信设备(申万),5.688574984310679,1.8631190066020764,-23.491365777080063,10.712646262518376
白色家电(申万),-0.50803438745608,3.6152368636251264,-4.352178550914909,26.138853625938996
视听器材(申万),5.019664967225057,7.1312690798081,-3.4019035922628116,13.282395756006604
饮料制造(申万),-3.3220207375276978,8.073288462845873,11.69198119609609,29.644044263053804
食品加工(申万),2.3803062457658397,2.1464023513437125,4.417724939205625,16.34644352057615
纺织制造(申万),-0.9334559083515881,10.845624685407484,-14.28844186839413,18.644701013744115
服装家纺(申万),-9.60661720542053,9.948565487807116,-9.034827556986691,18.219107271128298
包装印刷Ⅱ(申万),0.6562062529164692,14.160088895700817,-8.85032039309216,12.373973885736334
家用轻工(申万),2.7669102050435823,12.459655514012713,-5.35645379124059,14.117103032171418
造纸Ⅱ(申万),-0.9833772218564851,12.139505973110353,-11.190476190476184,9.94633478781104
化学制药(申万),4.046473470654743,11.209183314162296,-1.9658871539232292,11.07950110153173
生物制品Ⅱ(申万),2.8222976248182263,10.058151356187238,-12.744648537123538,22.98180712512037
医疗器械Ⅱ(申万),-0.362859178342434,5.498522249127613,-10.738504029515427,20.344024263380756
医药商业Ⅱ(申万),9.19023981819269,7.270610492614438,-3.8520876301216367,18.289934739282778
中药Ⅱ(申万),2.8787779881193076,6.580061869337861,0.371133438699478,13.445740519727156
医疗服务Ⅱ(申万),-1.7506646928419412,,,17.64639315254517
电力(申万),-3.521105835230076,8.741302341821067,0.04369804649870801,6.817436905932506
环保工程及服务Ⅱ(申万),5.137343461301569,9.509955084802568,-15.40434441245747,7.079882447234831
燃气Ⅱ(申万),10.377502182178189,10.349386414764439,-10.496933762088624,20.95501393235708
水务Ⅱ(申万),-1.0997762083296947,4.606356276734891,5.105368114692244,11.235920790468823
港口Ⅱ(申万),-2.468320339069674,3.5223209348619555,3.7507874568881716,6.576682733569306
公交Ⅱ(申万),-2.040659671581335,10.546533806306702,-4.9059610323764495,23.31369508217689
航空运输Ⅱ(申万),-16.9173721402085,7.225274950250982,-27.769717210983046,7.965951766768531
机场Ⅱ(申万),-3.172410769095857,6.149729814805105,5.455732364689303,8.265938546804152
