code,20120801-20120930,20150201-20150430,total_return_rate,rank,20120801-20120930_rank,20150201-20150430_rank
其他交运设备Ⅱ(申万),1.4291526802970191,51.593339102760964,0,82,47,35
航运Ⅱ(申万),-3.100782885662967,94.35055113779586,0,83,79,4
高低压设备(申万),0.7410066492996581,52.25300456045447,0,83,52,31
一般零售(申万),1.0075352375465751,48.806094092868086,0,92,50,42
景点(申万),-3.2654279234472616,75.82893496556535,0,93,83,10
燃气Ⅱ(申万),10.377502182178187,33.72773032989143,0,94,4,90
化学制药(申万),4.046473470654743,43.78913589225847,0,95,31,64
林业Ⅱ(申万),13.236268141623777,27.357082246456518,0,97,1,96
地面兵装Ⅱ(申万),11.719360141559674,28.304121820062388,0,97,2,95
电源设备(申万),-2.0991194920293776,57.628334367245635,0,97,73,24
航空装备Ⅱ(申万),4.2552813039173465,43.032940707652976,0,97,30,67
商业物业经营(申万),-3.74394054971825,69.86905051806347,0,98,87,11
园林工程Ⅱ(申万),2.613096271539561,44.788279342193185,0,98,38,60
橡胶(申万),2.5690938933695677,44.96486465740424,0,98,39,59
汽车零部件Ⅱ(申万),1.0261407654639676,46.574341246940726,0,99,49,50
中药Ⅱ(申万),2.878777988119308,42.75611438816569,0,103,34,69
综合Ⅱ(申万),0.03164374892123956,48.03567687770918,0,104,57,47
航天装备Ⅱ(申万),5.557948043790084,39.478552003983424,0,105,25,80
钢铁Ⅱ(申万),-1.263695743784243,50.03314366854988,0,105,66,39
航空运输Ⅱ(申万),-16.9173721402085,86.89262891141473,0,106,101,5
高速公路Ⅱ(申万),-3.7827607871120823,59.80487758243229,0,107,88,19
公交Ⅱ(申万),-2.040659671581335,50.494266172116916,0,110,72,38
物流Ⅱ(申万),-9.3820091478909,68.81892422801097,0,111,99,12
水泥制造Ⅱ(申万),5.753101803429805,34.8243973291257,0,111,23,88
造纸Ⅱ(申万),-0.9833772218564852,48.01153914886014,0,112,64,48
化学制品(申万),2.3149091950084517,41.897357944263476,0,116,44,72
服装家纺(申万),-9.60661720542053,60.709152702862646,0,117,100,17
农业综合Ⅱ(申万),5.891399944751785,23.67349922415196,0,119,21,98
采掘服务Ⅱ(申万),0.6168987773039314,43.116269933563814,0,120,54,66
食品加工(申万),2.38030624576584,37.918760675203536,0,125,42,83
玻璃制造Ⅱ(申万),-5.933902151503668,52.647682384323495,0,125,95,30
装修装饰Ⅱ(申万),-1.9217171659758783,46.15923146477228,0,125,71,54
金属制品Ⅱ(申万),-4.455570081201565,51.34396630460218,0,125,89,36
旅游综合Ⅱ(申万),-1.840402217352077,45.48505311139594,0,126,70,56
港口Ⅱ(申万),-2.4683203390696735,46.458049933895175,0,128,76,52
种植业(申万),2.3571823380079016,30.994283023364662,0,136,43,93
园区开发Ⅱ(申万),-2.327999017721938,44.29757674801378,0,137,74,63
白色家电(申万),-0.50803438745608,40.02352559422406,0,139,61,78
水务Ⅱ(申万),-1.0997762083296947,40.882246488757865,0,140,65,75
煤炭开采Ⅱ(申万),0.08648104395330147,37.77671083143497,0,140,56,84
贸易Ⅱ(申万),-3.2041697691734927,45.137664775393546,0,140,82,58
稀有金属(申万),1.1415679814452018,27.034414510832683,0,145,48,97
券商Ⅱ(申万),-0.29111770185744623,35.032444567457,0,146,59,87
金属非金属新材料(申万),-2.69114695606929,41.160440814365494,0,151,77,74
专用设备(申万),-6.110079764989075,45.33439073640126,0,153,96,57
渔业(申万),-4.966341530429997,44.48750778600593,0,153,92,61
电力(申万),-3.521105835230076,42.55657169857188,0,156,85,71
房地产开发Ⅱ(申万),-4.695527188376103,43.001450607652785,0,159,91,68
动物保健Ⅱ(申万),-3.1743125767740743,38.489495552922726,0,162,81,81
汽车整车(申万),-1.6638502534771726,30.243400960439377,0,162,68,94
石油开采Ⅱ(申万),-0.9034106737772164,15.034472308508208,0,163,62,101
多元金融Ⅱ(申万),-2.4175116197021063,34.465086250670986,0,164,75,89
畜禽养殖Ⅱ(申万),-2.829832293514956,35.825512839448024,0,164,78,86
机场Ⅱ(申万),-3.172410769095857,36.609376609310154,0,165,80,85
电机Ⅱ(申万),-4.653708788743503,40.656385604644534,0,167,90,77
饲料Ⅱ(申万),-5.417191832619107,39.69251079104677,0,173,94,79
饮料制造(申万),-3.3220207375276978,31.361618739461328,0,176,84,92
铁路运输Ⅱ(申万),-7.563143478872781,38.35894928491932,0,180,98,82
银行Ⅱ(申万),-3.7186545635151225,22.859771639617144,0,185,86,99
餐饮Ⅱ(申万),-6.134109529969812,31.657526597982287,0,188,97,91
保险Ⅱ(申万),-5.184244899460976,20.341310095199198,0,193,93,100
