code,20050101-20050131,20110701-20120731,20131001-20131231,20080201-20090331
林业Ⅱ(申万),-9.79752262982373,-32.433323650181755,4.62601037086976,-44.40860908641338
农产品加工(申万),-10.178264348832865,-41.742569930069926,3.7611300993090957,-31.503758786111625
农业综合Ⅱ(申万),-8.298797129283342,-36.35858254696809,17.29072545355632,-38.82868937048504
饲料Ⅱ(申万),-10.34336790348579,-11.4852713455042,22.05707124661025,-23.840948089228164
渔业(申万),-6.241780950591769,-17.26669811267142,5.192792914839228,-51.73948896564848
种植业(申万),-7.91346153846153,-32.244615236750604,0.6077580883047551,-5.269514499370864
畜禽养殖Ⅱ(申万),-7.9888215824642455,-21.40447163615098,-1.273851287755634,-32.38984606985997
动物保健Ⅱ(申万),-8.642343383147622,-18.513955726660246,15.654266549210849,-39.4493870066224
煤炭开采Ⅱ(申万),-9.475936415630015,-34.46894965833518,-12.335551379082633,-48.005669702293694
其他采掘Ⅱ(申万),0.44709388971682085,-42.33843571400024,-6.08123557135587,-13.696825683808145
石油开采Ⅱ(申万),-11.234760818762856,-18.652572964048098,-1.6622430158801493,-52.792868620399425
采掘服务Ⅱ(申万),3.8360115878872003,-14.997868650286183,16.279991953422467,-40.08485717894001
化学纤维(申万),-9.170895209720209,-46.87004666403228,-4.3152079092759426,-55.204698947775285
化学原料(申万),-6.5572855628104225,-46.87346567298826,-0.4479100922287538,-42.85994413304475
化学制品(申万),-6.595630234881278,-31.05942580670242,-1.9629372267033207,-38.79570777343454
石油化工(申万),-13.650006524859714,-27.006614947315732,0.1410087407046623,-46.79955331312993
塑料Ⅱ(申万),-9.757997218358827,-30.90651976286121,-0.6898402044509977,-34.17998285510638
橡胶(申万),-6.1724427745093235,-28.207709874445353,4.775550598974876,-47.04950703141713
钢铁Ⅱ(申万),-1.767577496801498,-40.96482580829739,0.17786561264823142,-56.452371488611696
金属非金属新材料(申万),-11.285461914163974,-13.587780375632686,-4.5028894142369325,-26.216991963260618
黄金Ⅱ(申万),,-25.816047961610867,-14.570335131896838,-33.66692325330014
稀有金属(申万),-4.910155046719367,-19.83342505374104,-13.312253984642187,-50.30559159214353
工业金属(申万),-6.631452581032415,-41.61149186693628,-8.877858470781097,-58.00076967481239
通用机械(申万),-6.6446622657864935,-39.735256329586264,7.922583627935875,-36.08315091064729
仪器仪表Ⅱ(申万),-2.802050752910068,-30.43198879932294,13.823854692702442,-33.67591272296807
专用设备(申万),-6.989643105656462,-36.36383699359082,3.608020726742267,-33.69889988838035
金属制品Ⅱ(申万),,-37.33058688527979,5.829672186549506,-9.363450519128714
运输设备Ⅱ(申万),-17.70863388230405,-40.45516261245828,18.228518765739253,-13.75295513468383
半导体(申万),-8.349688458680271,-37.95142116997175,4.226112367497747,-36.65061986111703
其他电子Ⅱ(申万),-5.299083721273934,-40.6741628522132,5.599592503174855,-40.7337439212603
元件Ⅱ(申万),-10.209934949733878,-34.01126558646846,-3.151457571675953,-42.48713052605719
光学光电子(申万),-9.008921103986623,-37.10815015436203,3.3747905715070914,-49.84846146290813
电子制造Ⅱ(申万),-15.757451462947769,-12.958879394592426,-4.9298875783584055,-22.87716246254954
汽车服务Ⅱ(申万),-5.090050730969365,-43.661227455902754,-2.031236664675251,-39.98114311354458
汽车零部件Ⅱ(申万),-7.937786759886389,-39.85205895368637,4.834722205472675,-40.61246810061976
汽车整车(申万),-3.677881025947327,-30.1269856076432,-1.2093216380339555,-45.301769300103864
计算机设备Ⅱ(申万),-10.004049509657209,-23.753012322102485,0.7768787507837382,-46.95608015555363
通信设备(申万),-3.598777202699832,-41.206231277712114,-3.743779614633569,-29.127161182375893
白色家电(申万),-5.47583960288528,-30.424086177774512,21.916055533666334,-39.702761694000664
视听器材(申万),-4.4980060989913255,-28.5602788906811,7.432966563401333,-38.994863864803676
饮料制造(申万),-2.496330694641613,4.189303981889214,-3.918724090384418,-45.33126096700205
食品加工(申万),-0.3990208205027379,-8.67933476440762,-5.9192470663219865,-38.544793186817984
纺织制造(申万),-10.088041985481656,-36.51969366408993,6.9931974512610795,-35.570224368024675
服装家纺(申万),-7.048000126025933,-22.88517271953311,2.949344807353804,-39.364248438912
包装印刷Ⅱ(申万),-10.035416074244496,-39.11337222207424,4.848869978449466,-33.91786607121187
家用轻工(申万),-5.902643821627141,-33.01908237879343,9.784806995591389,-48.76721137628962
造纸Ⅱ(申万),-8.053673989749399,-35.92407065647245,-9.551815047657675,-50.69731459697759
化学制药(申万),-8.403558838341441,-26.75956844316787,-4.281247260293986,-19.291746469092665
生物制品Ⅱ(申万),-7.399397646309591,-16.176102509759815,2.2288622297541805,-23.66108042028381
医疗器械Ⅱ(申万),-9.041994750656157,-21.782126723728013,4.822578725317728,-12.552531775317755
医药商业Ⅱ(申万),-6.488990129081252,-14.30665313694741,1.7105785780484384,-21.30668616570537
中药Ⅱ(申万),-3.875422199915901,-4.81545917733317,-5.643575299138903,-25.057696388059203
医疗服务Ⅱ(申万),,4.368379786923304,0.010400026624068914,-13.75054347343857
电力(申万),-9.23505444580659,-20.109482639927457,-0.08320677757023276,-33.45920532401133
环保工程及服务Ⅱ(申万),-7.072328420643026,-25.61905227281057,6.865145314724463,-31.91362195312094
燃气Ⅱ(申万),-6.384431164529203,-16.198775144515764,-2.0348042639778963,-32.230116940514705
水务Ⅱ(申万),-4.01696800393162,-18.442473345122,7.784240782019314,-35.986360693288034
港口Ⅱ(申万),-0.757429238387819,-29.326001300426263,7.3124696179827975,-29.039054411500853
