code,20050901-20060531,20070201-20070831,20090701-20100228,20101001-20110131,20121001-20130731,total_return_rate
航空装备Ⅱ(申万),156.24532096355122,80.89540772109974,53.52863524159886,-12.820492534762876,28.77250651167551,225.72597018206272
食品加工(申万),62.266986474516564,28.393562979181567,60.3643973826264,15.944874082887184,43.97410349068929,182.55036143071942
电子制造Ⅱ(申万),86.70053268423466,2.532809626235233,54.13206713780918,-0.23110741444867244,36.30255237739721,176.90404478499238
电气自动化设备(申万),95.42078919799788,46.11524071662846,47.74738064555562,4.514829768713646,18.542212001859237,166.2252116141264
券商Ⅱ(申万),158.22967968034408,148.11575379994719,1.2748128402903849,6.7868440940879635,-4.078490443719351,162.2128461710031
采掘服务Ⅱ(申万),106.3717700839915,60.238465344276456,-10.573764266938424,44.289553298868405,21.335806344224093,161.4233654601456
环保工程及服务Ⅱ(申万),34.64917708204429,156.7540680736161,88.49800399201597,2.04753588352018,34.446345025814054,159.64106198339448
互联网传媒(申万),-37.55333498499739,75.4887561604491,63.698157816963864,-8.832742654624436,128.77895196234292,146.09103213968496
文化传媒(申万),64.76945054363642,72.8985551146518,31.174558754505433,-12.186876204322296,57.21745071247317,140.97458380629274
工业金属(申万),144.1899411160931,268.86658804506646,12.185294886314145,13.754114573339038,-29.97229119435748,140.15705938138882
计算机应用(申万),46.074160376880606,67.57915634785812,50.40985838779954,-0.6486938461745861,42.7095085819575,138.54483350046306
专业零售(申万),133.5553880600324,137.02026826894596,36.47845267206527,-20.60330041182602,-11.382329153075645,138.04821116719603
高低压设备(申万),118.85770870933224,141.4667349928309,9.438754533909542,-1.4217034866038205,10.101637511401119,136.97639726803908
汽车零部件Ⅱ(申万),83.67465710330944,136.0638143773292,40.55297514160541,7.470347351625173,4.348392262022482,136.0463718585625
中药Ⅱ(申万),42.77841044891533,99.63582311408399,59.78936537006958,-5.21115416939023,31.6996324172939,129.05625406688858
专用设备(申万),88.87306800174541,127.70322882512946,15.622181809653954,33.41141202174687,-10.100187076714494,127.80647475643174
医疗器械Ⅱ(申万),41.321264460710736,88.28005041824221,38.99264634265123,-1.8424103194709216,45.96255231521646,124.4340527991075
通用机械(申万),52.009521193811246,133.37725752018682,40.71473451997121,20.33130393282341,11.163800032149183,124.21935967875504
汽车整车(申万),55.29347229840921,120.4477721097764,46.19560208359157,-1.917735749239524,24.489023061395823,124.06036169415708
其他电子Ⅱ(申万),40.58886637263085,92.3592165421739,44.01153578715788,5.6936794934064014,32.38667262274706,122.68075427594219
稀有金属(申万),138.9440467118186,168.4123328080171,6.887173124433764,-1.2568457472736494,-24.21875171603352,120.35562237294519
物流Ⅱ(申万),67.98921881587664,93.57800869629305,36.482235573100674,-2.86458130950068,18.023323200939203,119.63019628041584
水务Ⅱ(申万),32.508172553041504,166.65833131461528,17.877084761251982,10.891510801797885,56.13337016509641,117.41013828118778
其他建材Ⅱ(申万),46.01665017826144,79.0115894039735,54.917024348754865,5.101702816763186,11.23691518906218,117.27229253284167
元件Ⅱ(申万),55.398066479220425,92.09310142004874,41.321593020437824,2.5256400557650998,16.78638266150012,116.03168221692346
其他交运设备Ⅱ(申万),40.525133295328814,169.69211416933726,75.83382202023165,-6.448131660596235,5.639823496966345,115.55064715193058
燃气Ⅱ(申万),87.1006517790362,99.07640524468266,20.50754192754489,0.17967416393191993,6.5623581923992536,114.35022606291227
生物制品Ⅱ(申万),40.803625675298456,108.37246936545408,36.83904730509311,-6.879514247162466,42.44417374119847,113.20733247442757
电机Ⅱ(申万),55.235845873540704,91.99002858973464,39.75391575556091,-4.21389187532114,20.823325678575454,111.59919543235593
半导体(申万),32.15398003114409,51.93797331410025,55.443294154277275,0.5414931111823229,22.80625306389237,110.94502036049604
运输设备Ⅱ(申万),22.38906380344987,53.33371087238604,7.767200006967977,65.83242847321719,13.94671089659405,109.93540318022909
白色家电(申万),36.315906868212,148.00126175728374,43.5716373492055,6.292037827299747,23.106709921660816,109.28629196637806
塑料Ⅱ(申万),61.39506780647184,90.93903491304924,33.40892172020844,4.158720667140736,7.927034951607447,106.88974514542848
地面兵装Ⅱ(申万),33.8262427467444,164.56949770835283,37.93794275398996,-7.125114635535057,41.34624550563033,105.98531637082964
化学制药(申万),39.49923352069493,132.7244923965678,46.138301527313615,-3.2226817322547836,22.904413331628536,105.31926664738229
农业综合Ⅱ(申万),67.49308889858871,95.09456264775412,29.435867154420013,2.1569303516894682,6.213689435388359,105.29957584008655
视听器材(申万),22.681329858241696,82.99905985584456,63.50951779692171,1.5969371048588201,17.369895694629392,105.15768045465163
金属非金属新材料(申万),91.86429008567931,104.3635647090592,7.923613901165115,11.906024621829056,-7.465915410328949,104.22801319834454
通信设备(申万),17.859487852921863,58.257804632426996,56.194046269187155,2.7443311786682134,27.067964291824747,103.86582959260198
橡胶(申万),20.774475118146828,120.71107659881304,86.70072060567362,-11.219445341791234,5.422705314009657,101.67845569603888
农产品加工(申万),59.774036693498964,97.79295958279008,42.843915493275816,6.240135264010527,-10.766727050472024,98.09136040031328
景点(申万),70.48840377906541,184.01040251278198,42.00482971192528,-1.942050922422112,-13.466434685323891,97.08474788324469
玻璃制造Ⅱ(申万),40.54010637918108,162.72180550507218,34.86919157277717,14.231224516638164,5.936683109146968,95.57720557774338
一般零售(申万),81.07973489468978,83.26208799806535,42.43665062606383,-14.499401494723918,-18.10348180026963,90.91350222576006
家用轻工(申万),32.87974925464414,97.95406310427771,50.40714726767522,-3.182091826078404,6.920466012292459,87.02527070853341
