code,20120801-20120901,20150201-20150401,20160401-20160701,total_return_rate,rank,20120801-20120901_rank,20150201-20150401_rank,20160401-20160701_rank
电子制造Ⅱ(申万),8.546731729786528,35.19914340320687,11.098332074307768,0,38,3,28,7
光学光电子(申万),9.812491188495699,33.738951611804936,7.199786138810826,0,48,0,35,13
计算机应用(申万),6.256456791847008,62.01953794565156,0.13671689611014504,0,51,9,0,42
营销传播(申万),8.723603893425702,49.33724577557419,-0.07690443998092933,0,51,2,4,45
塑料Ⅱ(申万),5.324209437272276,34.23405697295643,8.24118364533064,0,52,11,30,11
半导体(申万),7.093085841467506,32.101184420412736,11.571942662994307,0,52,7,39,6
其他电子Ⅱ(申万),8.284254557562631,32.06614274805901,10.807967053291788,0,52,4,40,8
计算机设备Ⅱ(申万),4.035223726320392,42.87841534785471,3.16213767516913,0,54,17,10,27
仪器仪表Ⅱ(申万),1.988510494499307,38.90751738012948,6.4834475030122185,0,58,30,14,14
医疗器械Ⅱ(申万),4.621705058180958,42.40140794083083,1.8067168349815252,0,60,14,12,34
电气自动化设备(申万),1.6777784018977115,42.71425692430364,5.32208325582062,0,60,33,11,16
元件Ⅱ(申万),5.5917639429312604,28.42871961394489,15.424981189831573,0,71,10,58,3
家用轻工(申万),3.6002828187603253,36.24408703878901,2.055173454376291,0,74,20,21,33
医疗服务Ⅱ(申万),4.841762596021426,35.83133102579295,0.10557879191359644,0,77,12,22,43
包装印刷Ⅱ(申万),0.8443187120858564,45.00897096010314,2.20663678399291,0,79,42,6,31
通信设备(申万),0.3137863912437755,36.63193293231657,3.555494093585554,0,86,44,18,24
生物制品Ⅱ(申万),3.3834222006786208,30.739256396950825,4.822880192215795,0,88,21,48,19
医药商业Ⅱ(申万),7.749237485796302,26.6054225762425,4.765602334590491,0,89,6,63,20
通用机械(申万),2.0605289484163736,30.530169763018254,6.217954462683696,0,92,28,49,15
橡胶(申万),2.2288780841735583,33.83297395495326,2.2064463484292136,0,93,27,34,32
高低压设备(申万),-1.0983365224063957,35.307020999098405,4.958631779396061,0,102,58,26,18
互联网传媒(申万),4.8228579148231985,43.54618696449124,-6.9365896101168625,0,107,13,8,86
农业综合Ⅱ(申万),4.605759252208053,18.26349593468921,14.607334031535471,0,108,15,89,4
纺织制造(申万),1.376847464818609,35.57898149803176,-0.8087888767542406,0,110,35,25,50
通信运营Ⅱ(申万),6.434509038145998,37.86667070572436,-7.653531875853792,0,113,8,17,88
农产品加工(申万),3.706121101633242,31.65710376934701,-1.1945200864658445,0,115,19,42,54
其他建材Ⅱ(申万),2.046593306744371,28.674651594784685,2.362744701540165,0,115,29,57,29
化学原料(申万),2.4915283527811694,28.78930557198627,1.7669872592917637,0,116,26,55,35
电机Ⅱ(申万),-1.3866006209730886,31.024853588590503,10.716473677761806,0,117,62,46,9
汽车零部件Ⅱ(申万),-1.4393256510829011,32.5050709939148,5.3129261564383015,0,117,63,37,17
汽车服务Ⅱ(申万),-1.5962124765478425,38.616658465819434,0.5249216431365111,0,119,64,15,40
视听器材(申万),-0.5870356882738514,40.91958370285358,-1.1675344720477043,0,119,53,13,53
环保工程及服务Ⅱ(申万),4.4762882365017465,31.154138659133967,-2.568081050756832,0,120,16,44,60
其他交运设备Ⅱ(申万),1.0159190316346267,28.116188827782594,3.2480092579836306,0,124,39,60,25
化学制品(申万),1.2040824293317431,27.894317770539256,2.4081457518766003,0,125,36,61,28
电源设备(申万),-1.233718275815765,36.300144747725405,-0.4887340216009784,0,128,60,20,48
航空运输Ⅱ(申万),-16.26145665710488,43.94740708094609,4.005561519356404,0,130,101,7,22
地面兵装Ⅱ(申万),1.8727164492116533,23.129890375889662,3.8969547317278863,0,131,31,77,23
金属制品Ⅱ(申万),-2.8929863124425252,33.491343412766106,4.631450296300965,0,131,74,36,21
林业Ⅱ(申万),9.17742478996968,24.339231276910024,-2.396355067334477,0,133,1,73,59
化学制药(申万),1.5875479479390717,30.20022903368837,-0.5429633267718836,0,136,34,53,49
金属非金属新材料(申万),-3.3461681409351023,26.562718955818475,17.219850129067126,0,141,76,65,0
化学纤维(申万),3.093688107435044,30.770170551727503,-4.368390458069015,0,142,24,47,71
航天装备Ⅱ(申万),-0.7049025861538659,19.980916589499387,15.815536503493524,0,143,54,87,2
专业工程(申万),-0.5621965187372013,34.196142324065804,-2.8261684455580305,0,144,51,31,62
黄金Ⅱ(申万),-0.5152291369807438,15.814640015380508,16.055900152427505,0,145,50,94,1
文化传媒(申万),2.504429279634257,34.040834642135955,-8.041129742811249,0,146,25,32,89
造纸Ⅱ(申万),-0.12014483212640092,26.574251359424057,1.4809596958303972,0,146,45,64,37
其他采掘Ⅱ(申万),3.1577427366718647,31.053311266581417,-5.691712707182318,0,148,23,45,80
航空装备Ⅱ(申万),3.8307611125275134,22.11809352584657,-0.9884007800690764,0,150,18,81,51
食品加工(申万),0.8586439360956488,21.639164169175086,3.1803786064910744,0,151,41,84,26
综合Ⅱ(申万),0.7680800874518168,30.229466458256105,-2.122686169634836,0,153,43,52,58
燃气Ⅱ(申万),8.023971740060109,22.757692229021732,-4.506212959558031,0,157,5,80,72
中药Ⅱ(申万),-0.2444563996479632,24.979749316310553,0.8190914902467927,0,157,47,71,39
采掘服务Ⅱ(申万),1.09445461018427,28.717949335939522,-2.984517336108328,0,158,38,56,64
园林工程Ⅱ(申万),-1.9864414688137488,33.907063631321485,-1.76673940106592,0,158,68,33,57
种植业(申万),3.3604155762843697,15.869994056182012,0.04421582303706373,0,159,22,93,44
旅游综合Ⅱ(申万),-2.3493618667010385,36.304310399011854,-4.522517729399567,0,163,71,19,73
景点(申万),-1.7250228782875077,47.95003822665181,-9.188854892259624,0,163,65,5,93
饲料Ⅱ(申万),-9.921855306276782,35.29896020291619,0.2377508660732719,0,166,98,27,41
物流Ⅱ(申万),-6.988311028290705,56.94952202484778,-4.716081200943888,0,167,91,1,75
一般零售(申万),-0.462850820627303,30.470000417530716,-4.3251633713837006,0,169,49,50,70
基础建设(申万),-4.790014051104374,43.07322341023809,-5.6974558938639115,0,171,81,9,81
白色家电(申万),-2.8998791717011807,20.555285146426552,7.240602326876732,0,172,75,85,12
工业金属(申万),-1.7798447711792398,30.15664395686928,-1.228276400903794,0,176,66,54,56
酒店Ⅱ(申万),1.1854047045749103,31.313575981084327,-13.451014342989344,0,179,37,43,99
动物保健Ⅱ(申万),-0.15059529433997246,25.530729053681988,-3.177595260535881,0,182,46,70,66
商业物业经营(申万),-5.545165973572174,52.257248568353745,-10.322810498152268,0,183,86,2,95
石油化工(申万),1.8534154116966797,17.556013277221275,-2.711312445543113,0,184,32,91,61
贸易Ⅱ(申万),-3.50766939687267,30.433855210955162,-1.2155200081079731,0,184,78,51,55
园区开发Ⅱ(申万),-0.743257070355674,25.757924420123967,-2.8539890092293847,0,187,55,69,63
装修装饰Ⅱ(申万),-7.889441866492664,49.77728731176725,-8.625941550579263,0,188,93,3,92
稀有金属(申万),-5.495677326262727,15.233736835852918,9.912725502039057,0,190,85,95,10
银行Ⅱ(申万),-0.7566230939121343,9.602580108198078,0.9101483648758624,0,193,56,99,38
服装家纺(申万),-7.890536961508322,38.16683857222571,-5.937623718822849,0,193,94,16,83
公交Ⅱ(申万),-2.117420596727615,35.75021835051779,-15.821721988671731,0,194,70,23,101
专用设备(申万),-6.83163671229522,28.130920626215293,-0.19331793668763145,0,195,89,59,47
房屋建设Ⅱ(申万),-2.4995502094738664,31.714421960524138,-5.924003436112067,0,195,72,41,82
运输设备Ⅱ(申万),-5.057165080819604,34.75490277248816,-5.972642515255312,0,196,83,29,84
饮料制造(申万),-8.267700196129624,12.298409515563048,13.516829854981413,0,198,96,97,5
专业零售(申万),-3.862461476337242,35.61095411488282,-10.417589473121014,0,199,79,24,96
畜禽养殖Ⅱ(申万),-5.078129471695947,32.321958190462105,-5.519559153683917,0,201,84,38,79
钢铁Ⅱ(申万),-1.2083860092709675,26.28578927356482,-5.236949588765172,0,202,59,66,77
