code,20110701-20120731,20131001-20150131,total_return_rate
运输设备Ⅱ(申万),-40.45516261245828,174.84602081373833,174.84602081373833
券商Ⅱ(申万),-12.296264183347649,123.37962697931101,123.37962697931101
基础建设(申万),-17.397044915805903,114.63196090047391,114.63196090047391
航天装备Ⅱ(申万),-38.56410807283896,102.2833391442263,102.2833391442263
保险Ⅱ(申万),-6.390783219673468,101.7327809188088,101.7327809188088
地面兵装Ⅱ(申万),-51.41816310069621,97.45903009759348,97.45903009759348
港口Ⅱ(申万),-29.326001300426263,92.97014600130748,92.97014600130748
仪器仪表Ⅱ(申万),-30.431988799322944,92.8358680577905,92.8358680577905
林业Ⅱ(申万),-32.433323650181755,82.56747161637823,82.56747161637823
计算机应用(申万),-28.488351777807733,81.9846116218741,81.9846116218741
房屋建设Ⅱ(申万),-2.021543827397565,79.78790156744095,79.78790156744095
航空装备Ⅱ(申万),-44.565815789084475,78.07556238589831,78.07556238589831
钢铁Ⅱ(申万),-40.96482580829739,77.97999760450355,77.97999760450355
农业综合Ⅱ(申万),-36.358582546968094,77.96969983679071,77.96969983679071
航空运输Ⅱ(申万),-38.04530398315278,75.52579413044526,75.52579413044526
航运Ⅱ(申万),-43.37700718034002,71.56955256742944,71.56955256742944
水务Ⅱ(申万),-18.442473345122,71.4796074765648,71.4796074765648
电力(申万),-20.109482639927453,69.9414061363544,69.9414061363544
汽车零部件Ⅱ(申万),-39.85205895368637,68.84986915256688,68.84986915256688
通用机械(申万),-39.73525632958626,67.20645030151093,67.20645030151093
物流Ⅱ(申万),-22.952826716299853,66.47776469909121,66.47776469909121
电机Ⅱ(申万),-34.78932548107194,65.96683123121025,65.96683123121025
视听器材(申万),-28.5602788906811,63.8201046896699,63.8201046896699
其他交运设备Ⅱ(申万),-45.70757973215518,62.93567131761788,62.93567131761788
船舶制造Ⅱ(申万),-45.076798959826434,62.546363663841326,62.546363663841326
多元金融Ⅱ(申万),-31.39594843462247,61.62499633613741,61.62499633613741
贸易Ⅱ(申万),-33.25049701789264,58.778218508523814,58.778218508523814
橡胶(申万),-28.207709874445356,58.75751488205143,58.75751488205143
公交Ⅱ(申万),-34.13360194771353,57.522479664446614,57.522479664446614
白色家电(申万),-30.42408617777451,56.67458915339545,56.67458915339545
房地产开发Ⅱ(申万),-15.541305961291707,55.121504497138204,55.121504497138204
服装家纺(申万),-22.88517271953311,54.22387378577479,54.22387378577479
家用轻工(申万),-33.01908237879343,53.79243114260357,53.79243114260357
其他建材Ⅱ(申万),-34.078886364356286,53.78595822601011,53.78595822601011
高速公路Ⅱ(申万),-26.360671468308592,53.49656250229289,53.49656250229289
纺织制造(申万),-36.51969366408993,52.372658061083605,52.372658061083605
餐饮Ⅱ(申万),-7.860101516791984,49.22274470416364,49.22274470416364
电源设备(申万),-49.460897006302964,48.94751532768029,48.94751532768029
化学纤维(申万),-46.87004666403228,48.75690607734808,48.75690607734808
石油开采Ⅱ(申万),-18.652572964048094,48.44347474020425,48.44347474020425
半导体(申万),-37.95142116997175,48.19219923500013,48.19219923500013
通信设备(申万),-41.206231277712114,47.77045990607307,47.77045990607307
动物保健Ⅱ(申万),-18.513955726660246,47.46034636338135,47.46034636338135
其他电子Ⅱ(申万),-40.6741628522132,47.122402556623896,47.122402556623896
高低压设备(申万),-40.70044488190514,46.12517523304715,46.12517523304715
铁路运输Ⅱ(申万),-31.069968060654894,45.984503404555035,45.984503404555035
塑料Ⅱ(申万),-30.90651976286121,45.60175711440342,45.60175711440342
水泥制造Ⅱ(申万),-48.03546994898961,45.5104169517606,45.5104169517606
综合Ⅱ(申万),-34.367359268944284,45.4108770532137,45.4108770532137
包装印刷Ⅱ(申万),-39.11337222207424,44.4432778913632,44.4432778913632
农产品加工(申万),-41.742569930069926,43.67986387173431,43.67986387173431
专业工程(申万),-23.094864430645927,43.565327618990146,43.565327618990146
化学原料(申万),-46.87346567298826,43.41606097006468,43.41606097006468
机场Ⅱ(申万),-11.066482737105844,42.684516670380155,42.684516670380155
医疗器械Ⅱ(申万),-21.782126723728013,42.481649495443776,42.481649495443776
