code,20100101-20100331,20121001-20130731,20150501-20151231,total_return_rate
互联网传媒(申万),15.184180940413984,128.77895196234292,-18.004645345720924,110.774306616622
动物保健Ⅱ(申万),8.589803176656009,12.975669856605256,83.95037629860975,96.926046155215
电子制造Ⅱ(申万),11.885336111641019,36.30255237739721,24.91847650616674,61.22102888356395
电机Ⅱ(申万),13.890299937657314,20.823325678575454,31.810227687417733,52.63355336599319
文化传媒(申万),19.688604585692392,57.21745071247317,-4.775385825223644,52.44206488724953
其他电子Ⅱ(申万),12.161876365868142,32.38667262274706,18.336175552623946,50.722848175371
生物制品Ⅱ(申万),5.491932366686791,42.44417374119847,4.072048882055458,46.516222623253924
医疗服务Ⅱ(申万),7.379473984253425,50.40404797601201,-4.704050107918233,45.699997868093774
医疗器械Ⅱ(申万),8.593515910589078,45.96255231521646,-5.288548802664883,40.67400351255158
食品加工(申万),7.896801256802743,43.97410349068929,-7.160067372068834,36.81403611862045
计算机应用(申万),13.340800507503527,42.7095085819575,-6.353876229073341,36.35563235288416
通信设备(申万),3.451084190165932,27.067964291824747,7.1024869297540585,34.17045122157881
元件Ⅱ(申万),13.614439269503805,16.78638266150012,17.158219841861676,33.94460250336179
计算机设备Ⅱ(申万),12.299746469807936,25.898156244767343,7.96027773382082,33.85843397858816
地面兵装Ⅱ(申万),17.2227259254093,41.34624550563033,-8.268920589713847,33.07732491591648
环保工程及服务Ⅱ(申万),10.615967565228935,34.446345025814054,-2.098636225620365,32.347708800193686
水务Ⅱ(申万),9.905944057374551,56.13337016509641,-23.966413935710264,32.166956229386145
家用轻工(申万),6.609227679072861,6.920466012292459,21.69840541812356,28.618871430416018
中药Ⅱ(申万),7.829340198036716,31.6996324172939,-3.1330226373044616,28.566609779989438
仪器仪表Ⅱ(申万),11.950989355928554,14.985561207288267,12.739750973535655,27.72531218082392
塑料Ⅱ(申万),7.171596323087993,7.927034951607447,18.42879820790193,26.355833159509377
公交Ⅱ(申万),19.84576689717603,4.905335109493025,21.080855986990983,25.986191096484006
半导体(申万),22.50498204333045,22.80625306389237,2.5195243351313183,25.32577739902369
化学制药(申万),2.1730871013719177,22.904413331628536,1.7188519098601196,24.623265241488657
航天装备Ⅱ(申万),17.03900447592348,21.512137962343797,1.7040268922549062,23.216164854598702
光学光电子(申万),7.2175220248916085,28.25591484930872,-5.601137836948733,22.654777012359986
旅游综合Ⅱ(申万),9.008616696006676,6.722141671394644,12.579361799643852,19.301503471038494
林业Ⅱ(申万),6.6301962920967785,27.000513083632626,-9.068139054258307,17.93237402937432
物流Ⅱ(申万),8.508702168659976,18.023323200939203,-0.18056666857174666,17.842756532367456
综合Ⅱ(申万),14.360521727315946,7.514450867052026,10.045283101021596,17.559733968073623
白色家电(申万),-0.7511537220840858,23.106709921660816,-6.155988266215551,16.950721655445264
包装印刷Ⅱ(申万),2.658767195552492,11.736881754701136,5.054392353208924,16.79127410791006
通用机械(申万),4.317749259753767,11.163800032149183,5.623827866995135,16.78762789914432
电气自动化设备(申万),29.418217464367967,18.542212001859237,-2.975528521039738,15.5666834808195
园林工程Ⅱ(申万),69.29667760607681,9.580800329934846,5.834931408123213,15.415731738058058
航空装备Ⅱ(申万),3.295905792140208,28.77250651167551,-13.886771915132801,14.885734596542708
其他建材Ⅱ(申万),12.80555935604506,11.23691518906218,2.129185374853182,13.366100563915364
酒店Ⅱ(申万),21.40614661829423,-0.05941388205354947,13.218418683871525,13.159004801817975
玻璃制造Ⅱ(申万),8.627612293989827,5.936683109146968,6.575813530293306,12.512496639440275
汽车整车(申万),-14.351660826122234,24.489023061395823,-12.218356403711017,12.270666657684806
橡胶(申万),-4.932211313697998,5.422705314009657,6.558550232102145,11.981255546111802
造纸Ⅱ(申万),5.419360769772941,16.080615001038858,-4.3699635721382135,11.710651428900643
高低压设备(申万),-5.718929822932672,10.101637511401119,1.3001154431683926,11.401752954569512
房地产开发Ⅱ(申万),-3.902142853700963,9.592053098798694,0.9145824517533097,10.506635550552003
纺织制造(申万),8.985664873551059,1.6039688771503968,8.293267050093434,9.89723592724383
汽车零部件Ⅱ(申万),-0.7080851367546992,4.348392262022482,4.630927533642493,8.979319795664974
其他交运设备Ⅱ(申万),22.513228152407642,5.639823496966345,2.89398689741216,8.533810394378506
化学制品(申万),2.5527485418766367,2.702152734795616,3.280906304710673,5.983059039506289
汽车服务Ⅱ(申万),10.4315267247028,10.80962609038707,-4.9274347720724805,5.8821913183145895
金属制品Ⅱ(申万),6.721655249545643,7.062789463007003,-1.6604988146419195,5.402290648365083
化学纤维(申万),4.388586056981425,1.3169382409817576,2.5407808344028338,3.8577190753845914
园区开发Ⅱ(申万),-1.551970854369522,-0.7391825412123576,1.834763194455702,1.0955806532433443
农产品加工(申万),-0.8872616798769162,-10.766727050472024,10.718235617501515,-0.04849143297050951
医药商业Ⅱ(申万),7.420492802336741,5.080596132042925,-5.15599343185551,-0.07539729981258514
银行Ⅱ(申万),-5.436578719865182,10.268680305557986,-10.495717086931087,-0.22703678137310135
采掘服务Ⅱ(申万),-11.061841932585628,21.335806344224093,-22.196166068544606,-0.8603597243205137
畜禽养殖Ⅱ(申万),16.310322906344062,-3.640893936359468,2.404883238407596,-1.2360106979518717
机场Ⅱ(申万),6.953237178394311,-0.07641797803690231,-1.3590452634062222,-1.4354632414431245
视听器材(申万),4.270455098821757,17.369895694629392,-21.89262785309587,-4.522732158466479
景点(申万),13.993725181374915,-13.466434685323891,8.070209750888612,-5.3962249344352795
